Event,2021–2022,2022–2023,2023-2024
'fall semester begins',"'wednesday, september 1 (no class: mon. 9/6)'2021","'tuesday, september 6'2022","'tuesday, september 5'2023"
'regular saturday classes start',"'saturday, september 4'2021","'saturday, september 10'2022","'saturday, september 9'2023"
'thanksgiving recess',"'wednesday, november 24 '2021","'thursday, november 24 '2022","'thursday, november 23 '2023"
'regular classes end',"'monday, december 13'2021","'wednesday, december 14'2022","'wednesday, december 13'2023"
'fall exams begin',"'thursday, december 16'2021","'friday, december 16'2022","'friday, december 15'2023"
'fall exams end',"'thursday, december 23'2021","'friday, december 23'2022","'friday, december 22'2023"
'winter session begins',"'thursday, december 23'2021","'friday, december 23'2022","'friday, december 22'2023"
'winter session ends',"'friday, january 14'2022","'friday, january 13'2023","'friday, january 12'2024"
'spring semester begins',"'tuesday, january 18'2022","'tuesday, january 17'2023","'tuesday, january 16'2024"
'spring recess begins',"'saturday, march 12'2022","'saturday, march 11'2023","'saturday, march 9'2024"
'spring recess ends',"'sunday, march 20'2022","'sunday, march 19'2023","'sunday, march 17'2024"
'regular classes end',"'monday, may 2'2022","'monday, may 1'2023","'monday, april 29'2024"
'spring exams begin',"'thursday, may 5'2022","'thursday, may 4'2023","'thursday, may 2'2024"
'spring exams end',"'wednesday, may 11'2022","'wednesday, may 10'2023","'wednesday, may 8'2024"
'rutgers–new brunswick andrutgers biomedical andhealth sciencescommencement',"'sunday, may 15'2022","'sunday, may 14'2023","'sunday, may 12'2024"
'summer session begins',"'tuesday, may 31'2022","'tuesday, may 30'2023","'tuesday, may 28'2024"
'thanksgiving recess end',"'sunday, november 28'2021","'sunday, november 27'2022","'sunday, november 26'2023"
